__time,/Kastberg/_MSG_INDEX_,/Kastberg/data,/kthfs/result/_MSG_INDEX_,/kthfs/result/data
1630854408.973009,,,7109.000000,85066.664063
1630854409.015463,11900.000000,164.000000,,
1630854409.015741,,,7110.000000,85093.335938
1630854409.070884,11901.000000,168.000000,,
1630854409.071419,,,7111.000000,85120.000000
1630854409.121496,11902.000000,172.000000,,
1630854409.123986,,,7112.000000,85146.664063
1630854409.180568,,,7113.000000,85173.335938
1630854409.180597,11903.000000,176.000000,,
1630854409.221983,11904.000000,180.000000,,
1630854409.222008,,,7114.000000,85200.000000
1630854409.265613,11905.000000,184.000000,,
1630854409.266724,,,7115.000000,85226.664063
1630854409.321031,11906.000000,188.000000,,
1630854409.321319,,,7116.000000,85253.335938
1630854409.364573,,,7117.000000,85280.000000
1630854409.368254,11907.000000,192.000000,,
1630854409.420985,11908.000000,196.000000,,
1630854409.421421,,,7118.000000,85306.664063
1630854409.467042,11909.000000,200.000000,,
1630854409.467504,,,7119.000000,85333.335938
1630854409.515643,11910.000000,204.000000,,
1630854409.516745,,,7120.000000,85360.000000
1630854409.576087,11911.000000,208.000000,,
1630854409.576386,,,7121.000000,85386.664063
1630854409.621017,11912.000000,212.000000,,
1630854409.621367,,,7122.000000,85413.335938
1630854409.669823,11913.000000,216.000000,,
1630854409.670096,,,7123.000000,85440.000000
1630854409.727620,11914.000000,220.000000,,
1630854409.728253,,,7124.000000,85466.664063
1630854409.766929,11915.000000,224.000000,,
1630854409.767211,,,7125.000000,85493.335938
1630854409.816137,11916.000000,228.000000,,
1630854409.816645,,,7126.000000,85520.000000
1630854409.877008,11917.000000,232.000000,,
1630854409.877305,,,7127.000000,85546.664063
1630854409.916426,11918.000000,236.000000,,
1630854409.916948,,,7128.000000,85573.335938
1630854409.971534,11919.000000,240.000000,,
1630854409.974206,,,7129.000000,85600.000000
1630854410.020986,11920.000000,244.000000,,
1630854410.021316,,,7130.000000,85626.664063
1630854410.072170,11921.000000,248.000000,,
1630854410.074348,,,7131.000000,85653.335938
1630854410.116029,11922.000000,252.000000,,
1630854410.116751,,,7132.000000,85680.000000
1630854410.169576,11923.000000,4.000000,,
1630854410.169946,,,7133.000000,85706.664063
1630854410.223924,11924.000000,8.000000,,
1630854410.225429,,,7134.000000,85733.335938
1630854410.273961,11925.000000,12.000000,,
1630854410.274721,,,7135.000000,85760.000000
1630854410.318474,11926.000000,16.000000,,
1630854410.318679,,,7136.000000,85786.664063
1630854410.366380,11927.000000,20.000000,,
1630854410.367103,,,7137.000000,85813.335938
1630854410.418382,11928.000000,24.000000,,
1630854410.418785,,,7138.000000,85840.000000
1630854410.474372,11929.000000,28.000000,,
1630854410.475245,,,7139.000000,85866.664063
1630854410.526378,11930.000000,32.000000,,
1630854410.526466,,,7140.000000,85893.335938
1630854410.565706,11931.000000,36.000000,,
1630854410.566219,,,7141.000000,85920.000000
1630854410.616844,,,7142.000000,85946.664063
1630854410.617351,11932.000000,40.000000,,
1630854410.665709,11933.000000,44.000000,,
1630854410.666199,,,7143.000000,85973.335938
1630854410.715503,11934.000000,48.000000,,
1630854410.716125,,,7144.000000,86000.000000
1630854410.766465,11935.000000,52.000000,,
1630854410.766950,,,7145.000000,86026.664063
1630854410.815883,11936.000000,56.000000,,
1630854410.815910,,,7146.000000,86053.335938
1630854410.868260,11937.000000,60.000000,,
1630854410.868637,,,7147.000000,86080.000000
1630854410.917300,11938.000000,64.000000,,
1630854410.917786,,,7148.000000,86106.664063
1630854410.967481,11939.000000,68.000000,,
1630854410.968524,,,7149.000000,86133.335938
1630854411.021187,11940.000000,72.000000,,
1630854411.021494,,,7150.000000,86160.000000
1630854411.066430,11941.000000,76.000000,,
1630854411.068232,,,7151.000000,86186.664063
1630854411.115508,11942.000000,80.000000,,
1630854411.117141,,,7152.000000,86213.335938
1630854411.166323,11943.000000,84.000000,,
1630854411.181715,,,7153.000000,86240.000000
1630854411.218485,11944.000000,88.000000,,
1630854411.219295,,,7154.000000,86266.664063
1630854411.265901,11945.000000,92.000000,,
1630854411.267499,,,7155.000000,86293.335938
1630854411.316405,11946.000000,96.000000,,
1630854411.316979,,,7156.000000,86320.000000
1630854411.363366,11947.000000,100.000000,,
1630854411.364185,,,7157.000000,86346.664063
1630854411.416056,11948.000000,104.000000,,
1630854411.416860,,,7158.000000,86373.335938
1630854411.465749,11949.000000,108.000000,,
1630854411.466591,,,7159.000000,86400.000000
1630854411.513579,11950.000000,112.000000,,
1630854411.513876,,,7160.000000,86426.664063
1630854411.569268,11951.000000,116.000000,,
1630854411.569574,,,7161.000000,86453.335938
1630854411.621875,11952.000000,120.000000,,
1630854411.622246,,,7162.000000,86480.000000
1630854411.664297,11953.000000,124.000000,,
1630854411.665096,,,7163.000000,86506.664063
1630854411.719949,11954.000000,128.000000,,
1630854411.720279,,,7164.000000,86533.335938
1630854411.768569,,,7165.000000,86560.000000
1630854411.768597,11955.000000,132.000000,,
1630854411.823001,11956.000000,136.000000,,
1630854411.823047,,,7166.000000,86586.664063
1630854411.869012,11957.000000,140.000000,,
1630854411.869034,,,7167.000000,86613.335938
1630854411.915945,11958.000000,144.000000,,
1630854411.917948,,,7168.000000,86640.000000
1630854411.964000,11959.000000,148.000000,,
1630854411.968407,,,7169.000000,86666.664063
1630854412.021025,11960.000000,152.000000,,
1630854412.026067,,,7170.000000,86693.335938
